,Company_Name,Past_Rating,Present_Rating,Future_Rating,Overall_Rating,PastContribution,PresentContribution,FutureContribution,CIR,reduced_scope12_calc,5yr_Change,Transition_Invest,total_induced,induced_scope12,total_induced_n-5,induced_scope12_n-5,GICS4,marketCap_bin_no,marketCap_class,HQ_Region,HQ_SubRegion_ord,vol_bin_no,vol_class,gas_bin_no,gas_class
21,No_22,1,11,11,8.0,0.3,4.4,3.3,0.0,0.0,-0.2875245699146669,,338903063.41461486,32527000.0,444660830.1802694,19906880.0,Integrated Oil & Gas,0,g0: Company not quoted,Americas,g4: Latin America,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
22,No_23,10,6,9,8.1,3.0,2.4000000000000004,2.6999999999999997,,0.0,0.2856307547030157,0.0639,8384429.266442859,1162507.63,6722462.287681634,1024880.550161104,Oil & Gas Exploration & Production,1,"g1: 0 MEUR < market cap < 1,000 MEUR",Asia,g2: Southeastern Asia,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,2,g1: 33%<=gas in the mix<67%
23,No_24,1,9,14,8.100000000000001,0.3,3.6,4.2,0.006819495116086752,-324410.76078800636,-0.26064353552426445,0.0,47571081.91524944,7201918.889493741,63131101.49621016,8500000.0,Oil & Gas Exploration & Production,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,2,g1: 33%<=gas in the mix<67%
24,No_25,6,10,8,8.2,1.7999999999999998,4.0,2.4,0.0,0.0,-0.0299273410212314,,45289173.377226874,5091249.0,48319316.32034792,7668460.658586,Oil & Gas Exploration & Production,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Asia,g2: Eastern Asia,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,1,g1: 0%<gas in the mix<33%
25,No_26,9,5,12,8.299999999999999,2.6999999999999997,2.0,3.5999999999999996,0.0,0.0,0.17546973446652037,,145428526.3244205,72715085.71995053,123719498.73334879,59482682.939854726,Oil & Gas Storage & Transportation,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
26,No_27,11,8,6,8.3,3.3,3.2,1.7999999999999998,0.001168027980748738,0.0,0.47850860974217024,0.07122093023255814,127116132.35647847,19820000.0,83556041.40938841,12960072.0,Integrated Oil & Gas,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Europe,g5: Southern Europe,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
27,No_28,15,3,9,8.4,4.5,1.2000000000000002,2.6999999999999997,0.10145403936766785,-605616.2706236381,,,5969365.777826688,598000.0,0.0,0.0,Oil & Gas Exploration & Production,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Oceania,g3: Melanesia,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,3,g2: 67%<=gas in the mix<100%
28,No_29,8,10,7,8.5,2.4,4.0,2.1,0.019111871198825604,-8388828.0,0.11804715506623586,0.02409762628083003,513128181.66017747,50521048.222222224,449007144.50542605,36572233.5,Integrated Oil & Gas,4,"g4: Market cap >= 100,000 MEUR",Europe,g5: Northern Europe,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
29,No_30,10,5,12,8.6,3.0,2.0,3.5999999999999996,0.0,0.0,0.28746136066524874,,76501989.26938975,5800000.0,57547708.33974692,1700000.0,Oil & Gas Storage & Transportation,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,3,g2: 67%<=gas in the mix<100%
30,No_31,9,10,7,8.799999999999999,2.6999999999999997,4.0,2.1,0.0024478263673766514,0.0,0.13757882362074936,0.16853932584269662,735078114.9930643,74250898.79786013,658028340.0262787,80745904.75782982,Integrated Oil & Gas,4,"g4: Market cap >= 100,000 MEUR",Europe,g5: Western Europe,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
31,No_32,10,10,6,8.8,3.0,4.0,1.7999999999999998,0.02005732376004397,-7492981.824108626,0.3100586618429737,0.1109,441095053.2535304,41961176.35060312,347025559.43425083,44000000.0,Integrated Oil & Gas,4,"g4: Market cap >= 100,000 MEUR",Europe,g5: Western Europe,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
32,No_33,9,8,10,8.9,2.6999999999999997,3.2,3.0,0.0,0.0,0.22465652677181658,0.10742643624474545,868708247.9998074,174080000.0,698394267.6910571,123259240.4413844,Integrated Oil & Gas,4,"g4: Market cap >= 100,000 MEUR",Asia,g2: Eastern Asia,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
33,No_34,15,1,14,9.100000000000001,4.5,0.4,4.2,0.0,0.0,0.9836734693877551,0.0,23628280.528746963,9154782.0,11911375.986714004,4615065.0,Oil & Gas Storage & Transportation,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,4,g4: Only gas
34,No_35,1,14,11,9.200000000000001,0.3,5.6000000000000005,3.3,0.0,0.0,-0.27335369759520745,0.0,6010518.684667725,904207.0,9766423.451765068,3341390.3822239097,Oil & Gas Refining & Marketing,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Oceania,g3: Australasia,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,0,g0: No gas
35,No_36,8,11,8,9.200000000000001,2.4,4.4,2.4,0.014520158958221363,0.0,0.03812946483123825,0.051736207567087064,309153081.8769587,47494734.81260036,297798196.03445673,46387419.622882426,Integrated Oil & Gas,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Europe,g5: Eastern Europe,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
36,No_37,8,11,8,9.200000000000001,2.4,4.4,2.4,0.002828689320181387,0.0,0.058203262857257965,,25291248.589856252,5880000.0,23141667.09991131,5073253.012048192,Oil & Gas Refining & Marketing,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Europe,g5: Eastern Europe,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,1,g1: 0%<gas in the mix<33%
